"method","drug","stratum","estimate","oracle","bias","abs_bias","seed"
"Naive","Drug B","Low",0.344827586206897,0.476095,-0.131267413793103,0.131267413793103,78
"Naive","Drug B","Mid",0.188651436993368,0.185385,0.00326643699336773,0.00326643699336773,78
"Naive","Drug B","High",0.141652613827993,0.11668,0.0249726138279933,0.0249726138279933,78
"Naive","Drug A","Low",0.26931330472103,0.26299,0.00632330472103004,0.00632330472103004,78
"Naive","Drug A","Mid",0.128650355169692,0.142015,-0.0133646448303078,0.0133646448303078,78
"Naive","Drug A","High",0.0866666666666667,0.107965,-0.0212983333333333,0.0212983333333333,78
"L-TMLE","Drug B","High",0.137391960312782,0.11668,0.0207119603127822,0.0207119603127822,78
"L-TMLE","Drug B","Mid",0.196140118481825,0.185385,0.0107551184818254,0.0107551184818254,78
"L-TMLE","Drug B","Low",0.36158255917766,0.476095,-0.11451244082234,0.11451244082234,78
"L-TMLE","Drug A","High",0.125996871356999,0.107965,0.0180318713569995,0.0180318713569995,78
"L-TMLE","Drug A","Mid",0.140057959425631,0.142015,-0.00195704057436935,0.00195704057436935,78
"L-TMLE","Drug A","Low",0.25101336649805,0.26299,-0.0119766335019502,0.0119766335019502,78
